DISCOUNT_ITEM_ID|DISCOUNT_ITEM_TYPE|DISCOUNT_ITEM_VALUE|CONDITION_ID
1615963|1|HPN;R  ;1K113O   ;*;*;*;*;R;*;*;|134984
1615966|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1615967|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1615968|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1615969|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1615970|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1615971|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
1615972|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1615973|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1615983|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1615984|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1633711|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1633712|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1633713|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1633714|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1633715|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1633716|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1635353|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1635354|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1635335|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1635336|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1635337|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1635338|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1635333|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1635334|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1635355|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1635356|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
1635357|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
1635358|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1635359|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1635360|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1635361|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1635362|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1663691|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1663692|1|HPN;R  ;RL911    ;*;*;*;*;R;*;*;|134984
1663631|1|HPN;R  ;RL911    ;*;*;*;*;R;*;*;|134984
1663632|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1663629|1|HPN;R  ;RL911    ;*;*;*;*;R;*;*;|134984
1663630|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1663662|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1663663|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1663651|1|HPN;R  ;RL911    ;*;*;*;*;R;*;*;|134984
1663652|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1663657|1|HPN;R  ;RL911    ;*;*;*;*;R;*;*;|134984
1663658|1|HPN;R  ;QR911    ;*;*;*;*;R;*;*;|134984
1663659|1|HPN;R  ;1K113O   ;*;*;*;*;R;*;*;|134984
1663660|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1663661|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1663689|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1663690|1|HPN;R  ;RL911    ;*;*;*;*;R;*;*;|134984
1663697|1|HPN;R  ;RL911    ;*;*;*;*;R;*;*;|134984
1663698|1|HPN;R  ;1K113O   ;*;*;*;*;R;*;*;|134984
1663699|1|HPN;R  ;QR911    ;*;*;*;*;R;*;*;|134984
1663711|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1663712|1|HPN;R  ;RL911    ;*;*;*;*;R;*;*;|134984
1663717|1|HPN;R  ;1K114Q   ;*;*;*;*;R;*;*;|134984
1663718|1|HPN;R  ;1K114O   ;*;*;*;*;R;*;*;|134984
1663719|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1663720|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1663721|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1663722|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1663723|1|HPN;R  ;1K113O   ;*;*;*;*;R;*;*;|134984
1663724|1|HPN;R  ;1K113Q   ;*;*;*;*;R;*;*;|134984
1663725|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1663726|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1663727|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1663728|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
1663729|1|HPN;R  ;QR911    ;*;*;*;*;R;*;*;|134984
1663730|1|HPN;R  ;RL911    ;*;*;*;*;R;*;*;|134984
1663731|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1663732|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1663733|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1663734|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1663735|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1663736|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1663737|1|HPN;R  ;1K113O   ;*;*;*;*;R;*;*;|134984
1663738|1|HPN;R  ;1K113Q   ;*;*;*;*;R;*;*;|134984
1663739|1|HPN;R  ;1K114O   ;*;*;*;*;R;*;*;|134984
1663740|1|HPN;R  ;1K114Q   ;*;*;*;*;R;*;*;|134984
1663741|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1663742|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
1663743|1|HPN;R  ;QR911    ;*;*;*;*;R;*;*;|134984
1663744|1|HPN;R  ;RL911    ;*;*;*;*;R;*;*;|134984
1663745|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1663746|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1663747|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1663748|1|HPN;R  ;1K113O   ;*;*;*;*;R;*;*;|134984
1663749|1|HPN;R  ;1K114O   ;*;*;*;*;R;*;*;|134984
1663750|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1663751|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1663752|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1663753|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1663754|1|HPN;R  ;1K113O   ;*;*;*;*;R;*;*;|134984
1663755|1|HPN;R  ;1K114O   ;*;*;*;*;R;*;*;|134984
1663756|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1663757|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1663758|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
1663759|1|HPN;R  ;1K113Q   ;*;*;*;*;R;*;*;|134984
1663760|1|HPN;R  ;1K114Q   ;*;*;*;*;R;*;*;|134984
1663761|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1663762|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1663763|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1663764|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
1663765|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1663766|1|HPN;R  ;1K114Q   ;*;*;*;*;R;*;*;|134984
1663767|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1663768|1|HPN;R  ;1K113Q   ;*;*;*;*;R;*;*;|134984
1663998|1|HPN;R  ;RL911    ;*;*;*;*;R;*;*;|134984
1663999|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1663996|1|HPN;R  ;RL911    ;*;*;*;*;R;*;*;|134984
1663997|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1664004|1|HPN;R  ;RL911    ;*;*;*;*;R;*;*;|134984
1664005|1|HPN;R  ;QR911    ;*;*;*;*;R;*;*;|134984
1664006|1|HPN;R  ;1K113O   ;*;*;*;*;R;*;*;|134984
1664018|1|HPN;R  ;RL911    ;*;*;*;*;R;*;*;|134984
1664019|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1664321|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1664322|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1664323|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
1664324|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1664325|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1664326|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1664327|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1664328|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1664329|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1664330|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1664331|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
1664332|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
1664333|1|HPN;R  ;1K111O   ;*;*;*;*;R;*;*;|134984
1664334|1|HPN;R  ;1K112O   ;*;*;*;*;R;*;*;|134984
1664335|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1664336|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1664341|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1664342|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1664343|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1664344|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1664349|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1664350|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1664351|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1664352|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1664353|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1664354|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1664355|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1664356|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1664357|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1664358|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1664359|1|HPN;R  ;1K115O   ;*;*;*;*;R;*;*;|134984
1664360|1|HPN;R  ;1K116O   ;*;*;*;*;R;*;*;|134984
1664361|1|HPN;R  ;1K115Q   ;*;*;*;*;R;*;*;|134984
1664362|1|HPN;R  ;1K116Q   ;*;*;*;*;R;*;*;|134984
1664363|1|HPN;R  ;1K112Q   ;*;*;*;*;R;*;*;|134984
1664364|1|HPN;R  ;1K111Q   ;*;*;*;*;R;*;*;|134984
